Stock In Date,Model,IMEI,Grade,Storage,SIM Type,Colour,Supplier,BP,Stock Type,Notes,Age (days),Return Date
2026-08-24,GALAXY S21,350166284537961,A,128GB,Physical SIM + eSIM,Black,MHL,120,OFFICE,,5,
2026-08-24,GALAXY S21,350166284795353,A,128GB,Physical SIM + eSIM,VIOLET,MHL,120,OFFICE,,5,
2026-08-24,Galaxy A21S 4G,350179382325205,A,64GB,Physical SIM + eSIM,BLUE,IMAX,55,OFFICE,,5,
2026-08-24,Galaxy A21S 4G,350179382325206,A,64GB,Physical SIM + eSIM,BLUE,IMAX,55,OFFICE,,5,
2026-08-24,Galaxy A21S 4G,350179382863817,A,64GB,Physical SIM + eSIM,BLUE,IMAX,55,OFFICE,,5,
2026-08-24,GALAXY S21,350336263009163,A,128GB,Physical SIM + eSIM,Black,MHL,120,OFFICE,,5,
2026-08-24,GALAXY S21,350336263547857,A,128GB,Physical SIM + eSIM,Black,MHL,120,OFFICE,,5,
2026-08-24,GALAXY S21,350336263994661,A,128GB,Physical SIM + eSIM,Black,MHL,120,OFFICE,,5,
2026-08-24,GALAXY S21,350336264233549,A,128GB,Physical SIM + eSIM,Black,MHL,120,OFFICE,,5,
2026-08-24,GALAXY S21,350336267505091,A,128GB,Physical SIM + eSIM,Black,MHL,120,OFFICE,,5,
2026-08-24,GALAXY S21,350336267916785,A,128GB,Physical SIM + eSIM,Black,MHL,120,OFFICE,,5,
2026-08-24,GALAXY S23,350669647119047,A,128GB,Physical SIM + eSIM,Purple,MHL,185,OFFICE,,5,
2026-08-24,GALAXY S21,352651790077808,A,128GB,Physical SIM + eSIM,Black,MHL,120,OFFICE,,5,
2026-08-24,GALAXY S23,352766390420545,A,128GB,Physical SIM + eSIM,Black,NIHAL,185,OFFICE,,5,
2026-08-24,iPhone 12 Mini,353014119648479,A,256GB,Physical SIM + eSIM,Blue,ABC,135,OFFICE,,5,
2026-08-24,iPhone 12,353049113485411,A,256GB,Physical SIM + eSIM,White,ABC,160,OFFICE,,5,
2026-08-24,iPhone 12,353053115506265,A,128GB,Physical SIM + eSIM,Blue,ABC,155,OFFICE,,5,
2026-08-24,iPhone 12,353779337762308,A,64GB,Physical SIM + eSIM,Black,IMAX,150,OFFICE,,5,
2026-08-24,GALAXY S21,354034471884222,A,128GB,Physical SIM + eSIM,Black,MHL,120,OFFICE,,5,
2026-08-24,Galaxy A15,355030761674707,A,128GB,Physical SIM + eSIM,Black,MHL,75,OFFICE,,5,
2026-08-24,GALAXY S21,355151973619630,A,128GB,Physical SIM + eSIM,Black,MHL,120,OFFICE,,5,
2026-08-24,GALAXY S21,355218130425753,A,256GB,Physical SIM + eSIM,PINK,MHL,140,OFFICE,,5,
2026-08-24,GALAXY S23,355552516749018,A,128GB,Physical SIM + eSIM,GREEN,MHL,185,OFFICE,,5,
2026-08-24,GALAXY S21,356333450571364,A,256GB,Physical SIM + eSIM,White,MHL,140,OFFICE,,5,
2026-08-24,GALAXY S21,356333451121292,A,256GB,Physical SIM + eSIM,White,MHL,140,OFFICE,,5,
2026-08-24,iPhone 12,357716586565954,A,64GB,Physical SIM + eSIM,Black,IMAX,150,OFFICE,,5,
2026-08-24,iPhone 12,357716586622268,A,64GB,Physical SIM + eSIM,Black,IMAX,150,OFFICE,,5,
2026-08-24,iPhone 12,357716588555391,A,64GB,Physical SIM + eSIM,Black,IMAX,150,OFFICE,,5,
2026-08-24,iPhone 12,357716588590364,A,64GB,Physical SIM + eSIM,Black,IMAX,150,OFFICE,,5,
2026-08-24,IPAD 11TG GEN,SDHVJ6YYYX,ONU,128GB,,Blue,MHL,325,OFFICE,,5,
2026-08-22,GALAXY S20 Fe,350533520589389,A,128GB,,Blue,NIHAL,105,OFFICE,,7,
2026-08-22,GALAXY A32 4G,350839826837640,A,128GB,,Black,RR STOCK,58,OFFICE,,7,
2026-08-22,GALAXY S20 Fe,351328111825733,A,128GB,,Blue,RR STOCK,105,OFFICE,,7,
2026-08-22,Galaxy A32,351554744625220,A,64GB,,Black,RR STOCK,58,OFFICE,,7,
2026-08-22,Galaxy A32,351554746690438,A,64GB,,Black,RR STOCK,58,OFFICE,,7,
2026-08-22,Galaxy A32,351554746732487,A,64GB,,Black,RR STOCK,58,OFFICE,,7,
2026-08-22,Galaxy A32,351554748491736,A,64GB,,Black,RR STOCK,58,OFFICE,,7,
2026-08-22,Galaxy A21S 4G,351832198796311,A,32GB,,Black,RR STOCK,48,OFFICE,,7,
2026-08-22,Galaxy A21S 4G,351832199409211,A,32GB,,Black,RR STOCK,48,OFFICE,,7,
2026-08-22,Galaxy XCover 5 4G,352075821827868,A,64GB,Dual Physical SIM,Black,RR STOCK,35,OFFICE,,7,
2026-08-22,Galaxy XCover 5 4G,352075826681922,A,64GB,Dual Physical SIM,Black,RR STOCK,35,OFFICE,,7,
2026-08-22,Galaxy XCover 5 4G,352075829612742,A,64GB,Dual Physical SIM,Black,RR STOCK,35,OFFICE,,7,
2026-08-22,Galaxy A12 4G,352399915559728,A,64GB,,Black,MHL,52,OFFICE,,7,
2026-08-22,Galaxy A12 4G,352399916705049,A,64GB,,Black,MHL,52,OFFICE,,7,
2026-08-22,Galaxy A12 4G,352399916712094,A,64GB,,Black,MHL,52,OFFICE,,7,
2026-08-22,Galaxy A12 4G,352399917049199,A,64GB,,Black,MHL,52,OFFICE,,7,
2026-08-22,Galaxy A12 4G,352399917113599,A,64GB,,Black,MHL,52,OFFICE,,7,
2026-08-22,Galaxy XCover 5 4G,352419255875367,A,64GB,Dual Physical SIM,Black,RR STOCK,35,OFFICE,,7,
2026-08-22,IPHONE 13 Pro,352806848217612,A,128GB,Physical SIM + eSIM,Black,ABC,270,OFFICE,,7,
2026-08-22,GALAXY S20 Fe,353173656060959,A,128GB,,Blue,NIHAL,105,OFFICE,,7,
2026-08-22,Galaxy A32,353427862166608,A,64GB,,Black,NIHAL,58,OFFICE,,7,
2026-08-22,GALAXY S20 Fe,355008378562353,A,128GB,,Blue,RR STOCK,105,OFFICE,,7,
2026-08-22,Galaxy A40,355521116275351,A,32GB,,Black,IMAX,45,OFFICE,,7,
2026-08-22,GALAXY S20 Fe,356084611576681,A,128GB,,Blue,RR STOCK,105,OFFICE,,7,
2026-08-22,Galaxy A13,359103250816385,A,64GB,,Black,MHL,55,OFFICE,,7,
2026-08-22,GALAXY S20 Fe,359823617320660,A,128GB,,Blue,NIHAL,105,OFFICE,,7,
2026-08-21,IPAD 11TG GEN,195950086188,ONU,128GB,Not Applicable,Silver,ABC,300,OFFICE,,8,
2026-08-21,GALAXY S23 Ultra,350105092231847,A,256GB,Physical SIM + eSIM,RED,MHL,320,OFFICE,,8,
2026-08-21,GALAXY S22,351561160393225,A,128GB,Physical SIM + eSIM,GOLD,MHL,145,OFFICE,,8,
2026-08-21,GALAXY S22,351561161012204,A,128GB,Physical SIM + eSIM,GOLD,MHL,145,OFFICE,,8,
2026-08-21,Galaxy A12 4G,352307135305640,A,32GB,Dual Physical SIM,Blue,IMAX,50,OFFICE,,8,
2026-08-21,Galaxy A12 4G,352307136133231,A,32GB,Dual Physical SIM,Red,IMAX,50,OFFICE,,8,
2026-08-21,Galaxy A12 4G,352307137436393,A,32GB,Dual Physical SIM,Blue,IMAX,50,OFFICE,,8,
2026-08-21,Galaxy A12 4G,352307138164507,A,32GB,Dual Physical SIM,Blue,IMAX,50,OFFICE,,8,
2026-08-21,Galaxy A12 4G,352307138878155,A,32GB,Dual Physical SIM,Black,IMAX,50,OFFICE,,8,
2026-08-21,Galaxy S22 Plus,352516404638032,A,256GB,Physical SIM + eSIM,Black,MHL,170,OFFICE,,8,
2026-08-21,GALAXY S22,352991850835418,A,128GB,Physical SIM + eSIM,GREEN,MHL,145,OFFICE,,8,
2026-08-21,GALAXY S22,354285670178101,A,128GB,Physical SIM + eSIM,GREEN,MHL,145,OFFICE,,8,
2026-08-21,GALAXY S20 Fe,356084611586581,A,128GB,Physical SIM + eSIM,Blue,NIHAL,105,OFFICE,,8,
2026-08-21,IPHONE 8,356700087817677,A,64GB,Physical SIM,Black,NIHAL,55,OFFICE,,8,
2026-08-21,GALAXY S22,356724570402912,A,128GB,Physical SIM + eSIM,GREEN,MHL,145,OFFICE,,8,
2026-08-21,GALAXY S20 Fe,359823615954866,A,128GB,Physical SIM + eSIM,Blue,NIHAL,105,OFFICE,,8,
2026-08-20,GALAXY S21 Fe,350362203052899,A,128GB,Physical SIM + eSIM,Black,MHL,115,OFFICE,,9,
2026-08-20,GALAXY S21 Fe,350362206742728,A,128GB,Physical SIM + eSIM,Black,MHL,115,OFFICE,,9,
2026-08-20,GALAXY S21 Fe,350370852713083,A,128GB,Physical SIM + eSIM,Black,MHL,115,OFFICE,,9,
2026-08-20,GALAXY S21 Fe,350799514537565,A,128GB,Physical SIM + eSIM,Black,MHL,115,OFFICE,,9,
2026-08-20,GALAXY S21 Fe,350928503029686,A,128GB,Physical SIM + eSIM,Lavender,MHL,115,OFFICE,,9,
2026-08-20,GALAXY S21 Fe,350928503909663,A,128GB,Physical SIM + eSIM,White,MHL,115,OFFICE,,9,
2026-08-20,Galaxy S23 Plus,351059814799582,A,256GB,Physical SIM + eSIM,Green,MHL,220,OFFICE,,9,
2026-08-20,Galaxy S23 Plus,351219584135942,A,256GB,Physical SIM + eSIM,Green,MHL,220,OFFICE,,9,
2026-08-20,GALAXY S21 Fe,351385330086489,A,128GB,Physical SIM + eSIM,White,MHL,115,OFFICE,,9,
2026-08-20,GALAXY S21 Fe,351385330094848,A,128GB,Physical SIM + eSIM,White,MHL,115,OFFICE,,9,
2026-08-20,GALAXY S21 Fe,351385330174319,A,128GB,Physical SIM + eSIM,White,MHL,115,OFFICE,,9,
2026-08-20,GALAXY S21 Fe,351385330217100,A,128GB,Physical SIM + eSIM,White,MHL,115,OFFICE,,9,
2026-08-20,GALAXY S21 Fe,351385330275488,A,128GB,Physical SIM + eSIM,White,MHL,115,OFFICE,,9,
2026-08-20,Galaxy A32,351554742950562,A,64GB,Dual Physical SIM,Black,NANAK,60,OFFICE,,9,
2026-08-20,Galaxy A32,351554742956320,A,64GB,Dual Physical SIM,Black,NANAK,60,OFFICE,,9,
2026-08-20,Galaxy A32,351554742963730,A,64GB,Dual Physical SIM,Black,NANAK,60,OFFICE,,9,
2026-08-20,Galaxy A32,351554742965156,A,64GB,Dual Physical SIM,Black,NANAK,60,OFFICE,,9,
2026-08-20,Galaxy A32,351554742986194,A,64GB,Dual Physical SIM,Black,NANAK,60,OFFICE,,9,
2026-08-20,Galaxy A32,351554742988943,A,64GB,Dual Physical SIM,Black,NANAK,60,OFFICE,,9,
2026-08-20,Galaxy A32,351554743000102,A,64GB,Dual Physical SIM,Black,NANAK,60,OFFICE,,9,
2026-08-20,Galaxy A32,351554743013451,A,64GB,Dual Physical SIM,Black,NANAK,60,OFFICE,,9,
2026-08-20,Galaxy A32,351554743135148,A,64GB,Dual Physical SIM,Black,NANAK,60,OFFICE,,9,
2026-08-20,Galaxy A32,351554743137615,A,64GB,Dual Physical SIM,Black,NANAK,60,OFFICE,,9,
2026-08-20,Galaxy A32,351554743140973,A,64GB,Dual Physical SIM,Black,NANAK,60,OFFICE,,9,
2026-08-20,Galaxy A32,351554743143894,A,64GB,Dual Physical SIM,Black,NANAK,60,OFFICE,,9,
2026-08-20,Galaxy A32,351554743148901,A,64GB,Dual Physical SIM,Black,NANAK,60,OFFICE,,9,
2026-08-20,Galaxy A32,351554743156672,A,64GB,Dual Physical SIM,Black,NANAK,60,OFFICE,,9,
2026-08-20,Galaxy A32,351554743164049,A,64GB,Dual Physical SIM,Black,NANAK,60,OFFICE,,9,
2026-08-20,GALAXY S21 Fe,351675490278292,A,128GB,Physical SIM + eSIM,Lavender,MHL,115,OFFICE,,9,
2026-08-20,GALAXY S21 Fe,351700864349857,A,128GB,Physical SIM + eSIM,White,MHL,115,OFFICE,,9,
2026-08-20,Galaxy A30S 4G,351713112535987,A,64GB,Dual Physical SIM,Black,MHL,45,OFFICE,,9,
2026-08-20,GALAXY A35,351782250272059,A,128GB,Physical SIM + eSIM,Navy,NIHAL,125,OFFICE,,9,
2026-08-20,GALAXY A35,351782250277009,A,128GB,Physical SIM + eSIM,Navy,NIHAL,125,OFFICE,,9,
2026-08-20,GALAXY S21 Fe,351844421261351,A,128GB,Physical SIM + eSIM,Black,MHL,115,OFFICE,,9,
2026-08-20,Galaxy A32,351946450428122,A,64GB,Dual Physical SIM,Black,NANAK,60,OFFICE,,9,
2026-08-20,GALAXY S21 Fe,352126722350268,A,128GB,Physical SIM + eSIM,Lavender,MHL,115,OFFICE,,9,
2026-08-20,GALAXY S21 Fe,352126723599608,A,128GB,Physical SIM + eSIM,Green,MHL,115,OFFICE,,9,
2026-08-20,Galaxy A32,353427863643902,A,64GB,Dual Physical SIM,Black,NANAK,60,OFFICE,,9,
2026-08-20,Galaxy A32,353427863648737,A,64GB,Dual Physical SIM,Black,NANAK,60,OFFICE,,9,
2026-08-20,Galaxy A32,353427863650873,A,64GB,Dual Physical SIM,Black,NANAK,60,OFFICE,,9,
2026-08-20,Galaxy A32,353427863651095,A,64GB,Dual Physical SIM,Black,NANAK,60,OFFICE,,9,
2026-08-20,Galaxy A32,353427863652200,A,64GB,Dual Physical SIM,Black,NANAK,60,OFFICE,,9,
2026-08-20,Galaxy A32,353427863652838,A,64GB,Dual Physical SIM,Black,NANAK,60,OFFICE,,9,
2026-08-20,Galaxy A32,353427863666150,A,64GB,Dual Physical SIM,Black,NANAK,60,OFFICE,,9,
2026-08-20,Galaxy A32,353427863687842,A,64GB,Dual Physical SIM,Black,NANAK,60,OFFICE,,9,
2026-08-20,Galaxy A32,353427864062722,A,64GB,Dual Physical SIM,Black,NANAK,60,OFFICE,,9,
2026-08-20,Galaxy A32,353427864068695,A,64GB,Dual Physical SIM,Black,NANAK,60,OFFICE,,9,
2026-08-20,Galaxy A32,353427868090430,A,64GB,Dual Physical SIM,Black,NANAK,60,OFFICE,,9,
2026-08-20,Galaxy A32,353427868285576,A,64GB,Dual Physical SIM,Black,NANAK,60,OFFICE,,9,
2026-08-20,Galaxy S22,353459963487146,A,128GB,Physical SIM + eSIM,Black,MHL,145,OFFICE,,9,
2026-08-20,GALAXY S21 Fe,353717341399204,A,128GB,Physical SIM + eSIM,Black,MHL,115,OFFICE,,9,
2026-08-20,GALAXY S21 Fe,353718681607289,A,128GB,Physical SIM + eSIM,Black,MHL,115,OFFICE,,9,
2026-08-20,GALAXY S21 Fe,353718682301056,A,128GB,Physical SIM + eSIM,Green,MHL,115,OFFICE,,9,
2026-08-20,GALAXY S21 Fe,353718682812722,A,128GB,Physical SIM + eSIM,Black,MHL,115,OFFICE,,9,
2026-08-20,GALAXY S21 Fe,353718684756075,A,128GB,Physical SIM + eSIM,Green,MHL,115,OFFICE,,9,
2026-08-20,GALAXY S21 Fe,353718686276643,A,128GB,Physical SIM + eSIM,Black,MHL,115,OFFICE,,9,
2026-08-20,Galaxy A30S 4G,353765110491900,A,64GB,Dual Physical SIM,Black,MHL,45,OFFICE,,9,
2026-08-20,Galaxy S23 Plus,355802951733377,A,256GB,Physical SIM + eSIM,Black,MHL,220,OFFICE,,9,
2026-08-20,Galaxy S23 Plus,355802955398441,A,256GB,Physical SIM + eSIM,Green,MHL,220,OFFICE,,9,
2026-08-20,Galaxy A32,355808981011791,A,64GB,Dual Physical SIM,Black,NANAK,60,OFFICE,,9,
2026-08-20,Galaxy A32,355808982354901,A,64GB,Dual Physical SIM,Black,NANAK,60,OFFICE,,9,
2026-08-20,Galaxy A32,355808982826197,A,64GB,Dual Physical SIM,Black,NANAK,60,OFFICE,,9,
2026-08-20,Galaxy A32,355808982874460,A,64GB,Dual Physical SIM,Black,NANAK,60,OFFICE,,9,
2026-08-20,Galaxy A32,355808983019883,A,64GB,Dual Physical SIM,Black,NANAK,60,OFFICE,,9,
2026-08-20,GALAXY S22,356724575096719,A,128GB,Physical SIM + eSIM,Black,MHL,170,OFFICE,,9,
2026-08-20,GALAXY S22,356724575294652,A,128GB,Physical SIM + eSIM,Black,MHL,170,OFFICE,,9,
2026-08-20,GALAXY S22,356724575743492,A,128GB,Physical SIM + eSIM,Black,MHL,170,OFFICE,,9,
2026-08-20,GALAXY S22,356724575871467,A,128GB,Physical SIM + eSIM,Black,MHL,170,OFFICE,,9,
2026-08-20,GALAXY S22,356724575929083,A,128GB,Physical SIM + eSIM,Black,MHL,170,OFFICE,,9,
